,no_bhk,price,area,cons_stats
1071,2 ,16200000,2055,3
1072,10 ,32000000,5000,1
1073,2 ,8900000,1100,1
1074,5 ,100000000,6000,1
1075,3 ,5500000,1314,1
1076,2 ,11500000,2300,3
1077,3 ,7000000,1580,3
1078,2 ,3000000,1250,3
1079,2 ,4400000,1200,3
1080,2 ,4400000,1200,3
1081,2 ,4400000,1200,3
1082,2 ,4400000,1200,3
1083,2 ,4400000,1200,3
1084,2 ,5296000,1142,3
1085,2 ,5000000,1182,3
1086,2 ,5000000,1182,3
1087,2 ,5000000,1182,3
1088,2 ,5000000,1182,3
1089,2 ,5000000,1182,3
1090,2 ,5000000,1182,3
1091,2 ,5000000,1182,3
1092,2 ,5000000,1182,3
1093,2 ,5000000,1182,3
1094,2 ,5000000,1182,3
1095,2 ,5000000,1182,3
1096,2 ,5000000,1182,3
1097,9 ,29000000,5400,1
1098,9 ,29000000,5400,1
1099,9 ,29000000,5400,1
1100,9 ,29000000,5400,1
1101,3 ,10300000,1450,3
1102,3 ,10300000,1450,3
1103,3 ,10100000,1450,3
1104,3 ,10300000,1450,3
1105,3 ,13100000,2184,3
1106,8 ,62500000,4795,1
1107,3 ,10100000,1726,1
1108,2 ,2850000,1140,3
1109,2 ,5700000,1140,1
1110,2 ,6800000,1205,3
1111,2 ,3600000,1100,3
1112,3 ,12200000,2040,3
1113,3 ,20500000,1926,1
1114,3 ,7000000,1405,1
1115,5 ,30000000,2450,1
1116,2 ,6000000,1260,3
1117,3 ,9535000,1538,3
1118,3 ,9331000,1505,3
1119,2 ,7719000,1245,3
1120,3 ,9734000,1570,3
1121,2 ,7502000,1210,3
1122,3 ,9362000,1510,3
1123,2 ,7284999,1175,3
1124,3 ,9176000,1480,3
1125,3 ,9579000,1545,3
1126,3 ,9393000,1515,3
1127,3 ,9672000,1560,3
1128,3 ,9300000,1500,3
1129,3 ,10600000,1840,3
1130,3 ,8758000,1510,3
1131,3 ,11399999,1975,3
1132,3 ,11000000,1910,3
1133,3 ,11800000,2040,3
1134,4 ,16800000,2910,3
1135,3 ,11399999,1980,3
1136,3 ,11700000,2030,3
1137,2 ,6380000,1100,3
1138,3 ,10600000,1830,3
1139,2 ,7134000,1230,3
1140,3 ,9309000,1605,3
1141,3 ,12000000,2080,3
1142,3 ,14400000,2495,3
1143,2 ,6931000,1195,3
1144,4 ,17500000,3030,3
1145,3 ,11100000,1915,3
1146,3 ,15000000,2590,3
1147,4 ,18200000,3150,3
1148,3 ,12700000,2200,3
1149,2 ,6583000,1135,3
1150,3 ,10800000,1865,3
1151,2 ,8095000,1285,1
1152,3 ,10700000,1700,1
1153,2 ,8177000,1298,1
1154,3 ,10400000,1665,1
1155,0,2450000,1503,2
1156,0,4170000,1500,2
1157,0,2588000,1503,2
1158,0,22000000,3600,2
1159,0,3400000,1800,2
1160,0,900000,1350,2
1161,0,3840000,1500,2
1162,0,3200000,1800,2
1163,0,2100000,1350,2
1164,0,900000,1350,2
1165,0,2600000,1800,2
1166,0,2400000,2080,2
1167,0,2100000,1800,2
1168,0,2800000,1485,2
1169,0,2600000,1800,2
1170,0,825000,1350,2
1171,0,8000000,4500,2
1172,0,1800000,1800,2
1173,0,1800000,1800,2
1174,0,1800000,1800,2
1175,0,1800000,1800,2
1176,0,1800000,1800,2
1177,0,2700000,900,2
1178,0,1240000,1485,2
1179,0,6800000,9860,2
1180,0,2839000,1503,2
1181,0,3899000,2700,2
1182,0,1320000,1500,2
1183,0,1200000,1647,2
1184,0,2700000,900,2
1185,0,6800000,9860,2
1186,0,3100000,1500,2
1187,0,8560000,1800,2
1188,0,2200000,1800,2
1189,0,2200000,1530,2
1190,0,4800000,1350,2
1191,0,1200000,1530,2
1192,0,2670000,1201,2
1193,0,2400000,1350,2
1194,0,6600000,2244,2
1195,0,30000000,1800,2
1196,0,25000000,1746,2
1197,0,2400000,2000,2
1198,0,1455000,1800,2
1199,0,3025000,5445,2
1200,0,1000000,1800,2
1201,0,19500000,11700,2
1202,0,3200000,1800,2
1203,0,4000000,1800,2
1204,0,5562000,2781,2
1205,0,3500000,13527,2
1206,0,2475000,1500,2
1207,0,1700000,1125,2
1208,0,2850000,1503,2
1209,0,4900000,2054,2
1210,0,2500000,1485,2
1211,0,6600000,1800,2
1212,0,1125000,1350,2
1213,0,4600000,2196,2
1214,0,2800000,1044,2
1215,0,6250000,4500,2
1216,0,3958000,1827,2
1217,0,3800000,1800,2
1218,0,9210000,5526,2
1219,0,1000000,1350,2
1220,0,907000,1350,2
1221,0,735000,1323,2
1222,0,4400000,3600,2
1223,0,1450000,1500,2
1224,0,8811000,2403,2
1225,0,2249000,1350,2
1226,0,3547999,1330,2
1227,0,7000000,1800,2
1228,0,2498000,1800,2
1229,0,1599000,1800,2
1230,0,16500000,4500,2
1231,0,3200000,1224,2
1232,0,7000000,18000,2
1233,0,2800000,1800,2
1234,0,9000000,2700,2
1235,0,1800000,1485,2
1236,0,3660000,1647,2
1237,0,4941000,1647,2
1238,0,3060000,2754,2
1239,0,2700000,1500,2
1240,0,2145000,1485,2
1241,0,1950000,1350,2
1242,0,1299000,1485,2
1243,0,1300000,1485,2
1244,0,1401000,1494,2
1245,0,1300000,1485,2
1246,0,32000000,2403,2
1247,0,32000000,2403,2
1248,0,10500000,1170,2
1249,0,2200000,1800,2
1250,0,6600000,1800,2
1251,0,2450000,1350,2
1252,0,3300000,1503,2
1253,0,430000000,10080,2
1254,0,1567000,1485,2
1255,0,4392000,1650,2
1256,0,2250000,13230,2
1257,0,1650000,12834,2
1258,0,2200000,2727,2
1259,0,2655000,1494,2
1260,0,1323000,1323,2
1261,0,2800000,3600,2
1262,0,1300000,1323,2
1263,0,37800000,15120,2
1264,0,8800000,2000,2
1265,0,4500000,1800,2
1266,0,4500000,1800,2
1267,0,4500000,1800,2
1268,0,4500000,1800,2
1269,0,4500000,1800,2
1270,0,4500000,1800,2
1271,0,4500000,1800,2
1272,0,3500000,2700,2
1273,0,2400000,1800,2
1274,0,2400000,1800,2
1275,0,2400000,1800,2
1276,0,3400000,1800,2
1277,0,3400000,1800,2
1278,0,3400000,1800,2
1279,0,3400000,1800,2
1280,0,3400000,1800,2
1281,0,3600000,2700,2
1282,0,3600000,2700,2
1283,0,3600000,2700,2
1284,0,4400000,1503,2
1285,0,2929000,1815,2
1286,0,4199000,1800,2
1287,0,2400000,1503,2
1288,0,825000,1350,2
1289,0,1450000,1350,2
1290,0,2524000,1800,2
1291,3 ,14800000,1636,3
1292,3 ,13600000,1502,3
1293,3 ,14900000,1646,3
1294,3 ,17700000,1950,3
1295,3 ,15300000,1686,3
1296,3 ,17100000,1887,3
1297,3 ,17200000,1893,3
1298,3 ,13600000,1497,3
1299,3 ,17200000,1891,3
1300,3 ,13600000,1498,3
1301,3 ,14400000,1585,3
1302,3 ,16800000,1857,3
1303,3 ,16900000,1864,3
1304,3 ,15100000,1663,3
1305,3 ,17000000,2627,3
1306,3 ,6322000,1405,3
1307,3 ,6322000,1405,3
1308,3 ,7087000,1575,3
1309,3 ,7087000,1575,3
1310,3 ,6795000,1510,3
1311,3 ,6795000,1510,3
1312,2 ,5580000,1240,3
1313,2 ,5580000,1240,3
1314,2 ,6367000,1415,3
1315,2 ,6367000,1415,3
1316,3 ,7559999,1680,3
1317,3 ,7559999,1680,3
1318,2 ,6255000,1390,3
1319,2 ,6255000,1390,3
1320,3 ,6412000,1425,3
1321,3 ,6412000,1425,3
1322,2 ,5715000,1270,3
1323,2 ,5715000,1270,3
1324,2 ,5850000,1300,3
1325,2 ,5850000,1300,3
1326,3 ,6200000,1652,3
1327,3 ,6100000,1652,3
1328,3 ,6800000,1650,3
1329,3 ,6000000,1650,3
1330,3 ,8615000,1833,3
